id,name,region,math,lang,science
1,Student_1,jinju,91,63,73
2,Student_2,seoul,77,66,75
3,Student_3,jinju,65,85,74
4,Student_4,jinju,64,99,94
5,Student_5,seoul,96,89,90
6,Student_6,seoul,100,53,78
7,Student_7,jinju,93,51,64
8,Student_8,busan,52,55,94
9,Student_9,jinju,86,91,50
10,Student_10,jinju,100,53,74
11,Student_11,jinju,56,78,56
12,Student_12,jinju,70,67,58
13,Student_13,seoul,58,75,73
14,Student_14,jinju,88,93,50
15,Student_15,busan,67,83,93
16,Student_16,seoul,53,59,57
17,Student_17,busan,74,85,73
18,Student_18,busan,63,63,60
19,Student_19,busan,99,80,100
20,Student_20,busan,58,97,66
21,Student_21,seoul,75,64,57
22,Student_22,seoul,51,57,84
23,Student_23,busan,69,63,84
24,Student_24,busan,77,72,82
25,Student_25,seoul,96,89,54
26,Student_26,seoul,56,70,91
27,Student_27,seoul,93,65,88
28,Student_28,jinju,57,94,90
29,Student_29,jinju,96,67,77
30,Student_30,jinju,84,96,56
